Abeliophyllum distichum	NC_031445
Abelmoschus esculentus	NC_035234
Abies koreana	NC_026892
Abies sibirica	NC_035067
Acacia dealbata	NC_034985
Acacia ligulata	NC_026134
Acer buergerianum	NC_034744
Acer davidii	NC_030331
Acer griseum	NC_034346
Acer miaotaiense	NC_030343
Acer morrisonense	NC_029371
Acer palmatum	NC_034932
Acidosasa purpurea	NC_015820
Acioa guianensis	NC_030534
Acnistus arborescens	NC_030185
Acnistus arborescens x Iochroma cyaneum	NC_030056
Acoelorraphe wrightii	NC_029973
Aconitum austrokoreense	NC_031410
Aconitum carmichaelii	NC_030761
Aconitum chiisanense	NC_029829
Aconitum ciliare	NC_031420
Aconitum coreanum	NC_031421
Aconitum kusnezoffii	NC_031422
Aconitum monanthum	NC_031423
Acorus americanus	NC_010093
Acorus calamus	NC_007407
Acorus gramineus	NC_026299
Acrosorium ciliolatum	NC_035260
Actaea racemosa	NC_034704
Actinidia arguta	NC_034913
Actinidia chinensis	NC_026690
Actinidia deliciosa	NC_026691
Actinidia eriantha	NC_034914
Actinidia kolomikta	NC_034915
Actinidia polygama	NC_031186
Actinidia tetramera	NC_031187
Adenanthera microsperma	NC_034986
Adenophora remotiflora	NC_026999
Adiantum capillus-veneris	NC_004766
Adoxa moschatellina	NC_034792
Aegilops bicornis	NC_024831
Aegilops cylindrica	NC_023096
Aegilops geniculata	NC_023097
Aegilops kotschyi	NC_024832
Aegilops longissima	NC_024830
Aegilops searsii	NC_024815
Aegilops sharonensis	NC_024816
Aegilops speltoides	NC_022135
Aegilops tauschii	NC_022133
Aethionema arabicum	NC_034367
Aethionema cordifolium	NC_009265
Aethionema grandiflorum	NC_009266
Afrolicania elaeosperma	NC_030544
Agathis dammara	NC_023119
Agave americana	NC_032053
Agave attenuata	NC_032696
Ageratina adenophora	NC_015621
Agrostemma githago	NC_023357
Agrostis stolonifera	NC_008591
Ahnfeltia plicata	NC_031145
Ajuga reptans	NC_023102
Akebia quinata	NC_033913
Akebia trifoliata	NC_029427
Albizia odoratissima	NC_034987
Albuca kirkii	NC_032697
Aldrovanda vesiculosa	NC_035416
Aletris fauriei	NC_033412
Aletris spicata	NC_033411
Alliaria grandifolia	NC_034286
Allium cepa	NC_024813
Allium sativum	NC_031829
Allomaieta villosa	NC_031875
Allosyncarpia ternata	NC_022413
Alloteropsis angusta	NC_027951
Alloteropsis cimicina	NC_027952
Alloteropsis paniculata	NC_032078
Alloteropsis semialata	NC_027824
Alniphyllum eberhardtii	NC_031892
Aloysia citrodora	NC_034695
Alsophila spinulosa	NC_012818
Althaea officinalis	NC_034701
Alyssum desertorum	NC_034299
Amana anhuiensis	NC_034706
Amana edulis	NC_034707
Amana erythronioides	NC_034634
Amana kuocangshanica	NC_034708
Amana wanzhensis	NC_034705
Amaranthus hypochondriacus	NC_030770
Amborella trichopoda	NC_005086
Amentotaxus argotaenia	NC_027581
Amentotaxus formosana	NC_024945
Ammophila breviligulata	NC_027465
Ammopiptanthus mongolicus	NC_034742
Ammopiptanthus nanus	NC_034743
Ampelocalamus calcareus	NC_024731
Ampelocalamus naibunensis	NC_030767
Ampelodesmos mauritanicus	NC_027466
Amphicarpum muhlenbergianum	NC_030619
Anacardium occidentale	NC_035235
Ananas comosus	NC_026220
Anaphalis sinica	NC_034648
Andrographis paniculata	NC_022451
Andropogon abyssinicus	NC_035030
Andropogon burmanicus	NC_035038
Andropogon chinensis	NC_035012
Andropogon distachyos	NC_035041
Andropogon fastigiatus	NC_035010
Androsace bulleyana	NC_034641
Androsace paxiana	NC_034640
Anemarrhena asphodeloides	NC_032698
Anethum graveolens	NC_029470
Angelesia splendens	NC_030545
Angelica acutiloba	NC_029391
Angelica dahurica	NC_029392
Angelica gigas	NC_029393
Angiopteris angustifolia	NC_026300
Angiopteris evecta	NC_008829
Angophora costata	NC_022412
Angophora floribunda	NC_022411
Ankyra judayi	NC_029735
Annona cherimola	NC_030166
Anoectochilus emeiensis	NC_033895
Anomochloa marantoidea	NC_014062
Anthoceros angustus	NC_004543
Anthoxanthum nitens	NC_027475
Anthoxanthum odoratum	NC_027467
Anthriscus cerefolium	NC_015113
Apetahia longistigmata	NC_035353
Aphyllorchis montana	NC_030703
Apios americana	NC_025909
